Giorno,Temperatura_media,Temperatura_minima,Temperatura_massima,Precip.,Umidità,Vento Max,Raffica
1,21.7 °C,16 °C,27.8 °C,1%,67 %,20.6 km/h,34 km/h
2,21.7 °C,16 °C,27.4 °C,2%,64 %,20.6 km/h,39 km/h
3,23.2 °C,17 °C,29.2 °C,3%,64 %,22.2 km/h,39 km/h
4,23.1 °C,17 °C,29.8 °C,4%,66 %,18.3 km/h,39 km/h
5,25.1 °C,20 °C,29 °C,5%,59 %,18.3 km/h,35 km/h
6,24.4 °C,19.6 °C,30 °C,6%,65 %,20.6 km/h,35 km/h
7,24.6 °C,19 °C,30 °C,7%,65 %,20.6 km/h,36 km/h
8,24.6 °C,19 °C,30 °C,8%,68 %,18.3 km/h,34 km/h
9,26.2 °C,18.4 °C,33 °C,9%,52 %,27.8 km/h,35 km/h
10,27.8 °C,19.6 °C,34 °C,10%,43 %,20.6 km/h,36 km/h
11,25.3 °C,20.8 °C,33.6 °C,11%,53 %,11.1 km/h,37 km/h
12,27.6 °C,21.4 °C,34.4 °C,12%,38 %,16.5 km/h,38 km/h
13,29.4 °C,21.4 °C,35 °C,13%,44 %,14.8 km/h,39 km/h
14,29.3 °C,23 °C,35 °C,14%,50 %,16.5 km/h,40 km/h
15,28.6 °C,22 °C,35.4 °C,15%,50 %,14.8 km/h,41 km/h
16,27.1 °C,21 °C,33.4 °C,16%,61 %,18.3 km/h,42 km/h
17,25.1 °C,21.8 °C,30.8 °C,17%,76 %,11.1 km/h,43 km/h
18,25.3 °C,20.4 °C,30 °C,18%,76 %,11.1 km/h,44 km/h
19,25.7 °C,19.8 °C,32.8 °C,19%,57 %,14.8 km/h,45 km/h
20,28 °C,18.8 °C,33.4 °C,20%,39 %,18.3 km/h,34 km/h
21,26.6 °C,19.6 °C,33 °C,21%,50 %,18.3 km/h,37 km/h
22,27.2 °C,19 °C,32.4 °C,22%,51 %,24.1 km/h,39 km/h
23,26.8 °C,19.4 °C,33 °C,23%,44 %,16.5 km/h,40 km/h
24,27.8 °C,19 °C,34.2 °C,24%,33 %,14.8 km/h,41 km/h
25,28.2 °C,20.8 °C,34.4 °C,25%,46 %,13 km/h,42 km/h
26,28.1 °C,21.4 °C,35 °C,26%,53 %,16.5 km/h,43 km/h
27,27.4 °C,20 °C,33 °C,27%,57 %,27.8 km/h,44 km/h
28,27.3 °C,21.8 °C,34 °C,28%,71 %,27.8 km/h,47 km/h
29,27.7 °C,23 °C,32 °C,29%,63 %,20.6 km/h,48 km/h
30,27.5 °C,21 °C,34 °C,30%,59 %,16.5 km/h,49 km/h
